Number of blocks,Time,Algorithm,Plan length
28,12.002229690551758,PERFECT,36
28,164.03603553771973,PERFECT,39
28,33.00809860229492,PERFECT,43
28,203.04465293884277,PERFECT,43
29,223.04964065551758,PERFECT,43
29,104.02464866638184,PERFECT,42
29,1279.2887687683105,PERFECT,44
29,1711.3873958587646,PERFECT,47
29,14.002323150634766,PERFECT,37
29,14.002799987792969,PERFECT,38
29,282.06443786621094,PERFECT,45
29,280.0619602203369,PERFECT,36
29,132.03048706054688,PERFECT,41
29,161.03553771972656,PERFECT,39
30,106.02307319641113,PERFECT,41
30,1060.2388381958008,PERFECT,47
30,316.0715103149414,PERFECT,39
30,387.15124130249023,PERFECT,38
30,25.006771087646484,PERFECT,44
30,84.01799201965332,PERFECT,37
30,210.04867553710938,PERFECT,37
30,20.003080368041992,PERFECT,42
30,14.003515243530273,PERFECT,35
30,1238.2805347442627,PERFECT,47
31,1541.4974689483643,PERFECT,43
31,99.02238845825195,PERFECT,41
31,1601.3638973236084,PERFECT,48
31,139.03117179870605,PERFECT,40
31,540.12131690979,PERFECT,43
31,534.6565246582031,PERFECT,45
31,244.05503273010254,PERFECT,42
31,127.0287036895752,PERFECT,44
31,221.44746780395508,PERFECT,37
31,118.0260181427002,PERFECT,42
32,107.0241928100586,PERFECT,40
32,2189.0087127685547,PERFECT,43
32,1655.3783416748047,PERFECT,48
32,572.1333026885986,PERFECT,44
32,427.095890045166,PERFECT,45
32,286.06486320495605,PERFECT,44
32,296.0653305053711,PERFECT,45
32,819.1852569580078,PERFECT,45
32,111.02461814880371,PERFECT,41
32,19871.214866638184,PERFECT,53
33,714.1602039337158,PERFECT,48
33,132.02977180480957,PERFECT,43
33,1587.35990524292,PERFECT,41
33,1480.3335666656494,PERFECT,47
33,940.2122497558594,PERFECT,52
33,3459.8958492279053,PERFECT,53
33,1849.4210243225098,PERFECT,44
33,232.05232620239258,PERFECT,47
33,2629.488945007324,PERFECT,55
33,555.1252365112305,PERFECT,51
34,691.1568641662598,PERFECT,43
34,1511.338710784912,PERFECT,51
34,1192.2082901000977,PERFECT,50
34,1129.441499710083,PERFECT,52
34,27317.912340164185,PERFECT,57
34,776.1745452880859,PERFECT,46
34,659.1477394104004,PERFECT,46
34,1094.2473411560059,PERFECT,47
34,2070.4710483551025,PERFECT,49
34,571.1286067962646,PERFECT,47
35,2609.339952468872,PERFECT,55
35,739.1674518585205,PERFECT,51
35,448.9009380340576,PERFECT,49
35,14517.900705337524,PERFECT,57
35,9593.66512298584,PERFECT,52
35,1156.7797660827637,PERFECT,49
35,136.0304355621338,PERFECT,47
35,16279.597043991089,PERFECT,54
35,21626.285552978516,PERFECT,59
35,1570.939302444458,PERFECT,51
36,1349.3051528930664,PERFECT,57
36,1351.3050079345703,PERFECT,56
36,579.1330337524414,PERFECT,49
36,654.1495323181152,PERFECT,50
36,1010.2286338806152,PERFECT,45
36,18327.724933624268,PERFECT,57
36,3007.6799392700195,PERFECT,50
36,559.1259002685547,PERFECT,48
36,28472.065210342407,PERFECT,58
36,1270.2858448028564,PERFECT,50
37,8551.098346710205,PERFECT,53
37,1028.5918712615967,PERFECT,52
37,279.06298637390137,PERFECT,52
37,1805.4134845733643,PERFECT,55
37,5829.31113243103,PERFECT,53
37,198.0443000793457,PERFECT,50
37,608.1368923187256,PERFECT,49
37,237.05315589904785,PERFECT,52
37,19981.307983398438,PERFECT,58
37,2968.254327774048,PERFECT,49
38,552.1240234375,PERFECT,47
38,50300.6489276886,PERFECT,61
38,1331.798791885376,PERFECT,46
38,1146.7781066894531,PERFECT,54
38,615.1394844055176,PERFECT,56
38,189.0413761138916,PERFECT,48
38,493.11256408691406,PERFECT,52
38,43018.834829330444,PERFECT,52
38,252.05683708190918,PERFECT,52
38,1496.3364601135254,PERFECT,55
39,5856.716871261597,PERFECT,57
39,4791.339159011841,PERFECT,58
39,1462.3305797576904,PERFECT,51
39,330.0759792327881,PERFECT,49
39,27461.20810508728,PERFECT,62
39,638.1409168243408,PERFECT,57
39,2317.52347946167,PERFECT,51
39,844.191312789917,PERFECT,48
39,2210.4973793029785,PERFECT,58
