Number of blocks,Time,Algorithm
14500,80.01852035522461,US
14500,84.01846885681152,US
14500,83.01854133605957,US
14500,81.01773262023926,US
14500,81.01725578308105,US
14500,81.01892471313477,US
14750,82.01813697814941,US
14750,82.01885223388672,US
14750,83.01854133605957,US
14750,86.01951599121094,US
14750,84.01918411254883,US
14750,88.01960945129395,US
14750,54.012298583984375,US
14750,54.01253700256348,US
14750,55.01222610473633,US
14750,56.012868881225586,US
15,0.0,US
15,0.0,US
15,0.0,US
15,0.0,US
15,0.0,US
15,0.0,US
15,0.0,US
15,0.99945068359375,US
15,0.0,US
15,0.0,US
1500,5.001068115234375,US
1500,23.00548553466797,US
1500,4.00090217590332,US
1500,4.001379013061523,US
1500,4.000425338745117,US
1500,4.000425338745117,US
1500,5.001544952392578,US
1500,5.001068115234375,US
1500,5.001544952392578,US
1500,5.001306533813477,US
16,0.0,US
16,1.0001659393310547,US
16,0.0,US
16,0.0,US
16,0.0,US
16,0.0,US
16,0.0,US
16,0.0,US
16,0.0,US
16,0.0,US
17,0.0,US
17,0.0,US
17,0.0,US
17,0.0,US
17,0.0,US
17,1.0006427764892578,US
17,0.0,US
17,0.0,US
17,0.0,US
17,0.0,US
1750,5.001544952392578,US
1750,5.001068115234375,US
1750,5.001068115234375,US
1750,5.001544952392578,US
1750,5.000591278076172,US
1750,5.001306533813477,US
1750,5.001306533813477,US
1750,5.001306533813477,US
1750,5.001306533813477,US
1750,6.001949310302734,US
18,0.0,US
18,0.0,US
18,0.0,US
18,0.0,US
18,0.0,US
18,0.0,US
18,0.0,US
18,0.0,US
18,0.0,US
18,0.0,US
19,0.0,US
19,0.0,US
19,0.0,US
19,0.0,US
19,0.0,US
19,0.0,US
19,0.0,US
19,0.0,US
19,0.0,US
19,0.0,US
20,0.0,US
20,0.0,US
20,0.0,US
20,0.0,US
20,0.0,US
20,0.0,US
20,0.0,US
20,0.0,US
20,0.0,US
20,0.0,US
2000,6.001710891723633,US
2000,26.005983352661133,US
2000,6.001472473144531,US
2000,6.001472473144531,US
2000,6.000757217407227,US
2000,6.001472473144531,US
2000,6.00123405456543,US
2000,6.00123405456543,US
2000,6.000995635986328,US
2000,26.00574493408203,US
21,0.0,US
21,0.0,US
21,0.0,US
21,0.0,US
21,0.0,US
21,0.0,US
21,0.9996891021728516,US
21,0.0,US
21,0.0,US
21,0.0,US
22,0.0,US
22,0.0,US
22,0.0,US
22,0.0,US
22,0.0,US
22,0.0,US
22,0.0,US
22,0.0,US
22,1.0008811950683594,US
22,0.0,US
2250,7.001399993896484,US
2250,7.0018768310546875,US
2250,7.001161575317383,US
2250,6.00123405456543,US
2250,6.003856658935547,US
2250,6.000518798828125,US
2250,25.005817413330078,US
2250,7.001399993896484,US
2250,7.001161575317383,US
2250,6.001949310302734,US
23,0.0,US
23,0.0,US
23,0.0,US
23,0.0,US
23,0.0,US
23,0.0,US
23,0.0,US
23,0.0,US
23,0.0,US
23,0.0,US
24,1.0008811950683594,US
24,0.0,US
24,0.0,US
24,0.0,US
24,0.0,US
24,0.0,US
24,0.0,US
24,0.0,US
24,0.0,US
24,0.0,US
25,0.9999275207519531,US
25,0.0,US
25,0.0,US
25,0.0,US
25,0.0,US
25,0.0,US
25,0.0,US
25,0.0,US
25,0.0,US
25,0.0,US
250,1.0001659393310547,US
250,0.0,US
250,0.0,US
250,0.0,US
250,1.0006427764892578,US
250,1.0001659393310547,US
250,0.9999275207519531,US
250,1.001119613647461,US
250,0.9992122650146484,US
250,1.0006427764892578,US
2500,8.00180435180664,US
2500,7.000923156738281,US
2500,7.001638412475586,US
2500,8.002281188964844,US
2500,7.001161575317383,US
2500,8.00180435180664,US
2500,7.002115249633789,US
2500,7.001638412475586,US
2500,7.0018768310546875,US
2500,27.00638771057129,US
26,0.0,US
26,0.0,US
26,0.0,US
26,0.0,US
26,0.0,US
26,0.0,US
26,1.0001659393310547,US
26,0.0,US
26,0.0,US
26,0.0,US
27,0.0,US
27,0.0,US
27,0.0,US
27,0.0,US
27,0.0,US
27,0.0,US
27,0.0,US
27,0.0,US
27,0.0,US
27,0.0,US
2750,9.002447128295898,US
2750,9.001970291137695,US
2750,9.001731872558594,US
2750,9.001493453979492,US
2750,8.00180435180664,US
2750,9.002685546875,US
2750,8.00180435180664,US
2750,8.00180435180664,US
2750,8.002519607543945,US
2750,9.002685546875,US
28,0.0,US
28,0.0,US
28,0.0,US
28,0.0,US
28,0.0,US
28,0.0,US
28,0.0,US
28,0.0,US
28,0.0,US
28,0.0,US
29,0.0,US
29,0.0,US
29,0.0,US
29,0.0,US
29,0.0,US
29,0.9999275207519531,US
29,0.0,US
29,0.0,US
29,0.0,US
29,0.0,US
30,0.0,US
30,0.0,US
30,0.0,US
30,1.0004043579101562,US
30,0.0,US
30,0.0,US
30,0.0,US
30,0.0,US
30,0.0,US
30,0.0,US
3000,30.00664710998535,US
3000,9.002208709716797,US
3000,10.002613067626953,US
3000,9.00125503540039,US
3000,9.001970291137695,US
3000,9.001970291137695,US
3000,9.00125503540039,US
3000,9.001970291137695,US
3000,9.001731872558594,US
3000,10.00213623046875,US
31,0.0,US
31,0.0,US
31,0.0,US
31,0.0,US
31,1.0004043579101562,US
31,0.0,US
31,0.0,US
31,0.0,US
31,0.0,US
31,0.0,US
32,0.0,US
32,0.0,US
32,1.0004043579101562,US
32,0.0,US
32,0.0,US
32,0.0,US
32,0.0,US
32,0.0,US
32,0.0,US
32,0.0,US
3250,10.001659393310547,US
3250,31.00728988647461,US
3250,9.001970291137695,US
3250,9.001731872558594,US
3250,9.002208709716797,US
3250,10.002851486206055,US
3250,29.006481170654297,US
3250,10.001659393310547,US
3250,10.00213623046875,US
3250,11.002302169799805,US
33,0.0,US
33,0.0,US
33,0.0,US
33,0.9999275207519531,US
33,0.0,US
33,0.0,US
33,0.0,US
33,0.0,US
33,0.0,US
33,0.0,US
34,1.0004043579101562,US
34,0.0,US
34,0.0,US
34,0.0,US
