Number of blocks,Time,Algorithm,Plan length
12500,69.0155029296875,US,24848
12500,72.01600074768066,US,24846
12500,44.00992393493652,US,24861
12500,44.01063919067383,US,24856
12500,68.01533699035645,US,24860
12500,69.0155029296875,US,24863
12500,72.01623916625977,US,24856
12500,44.00968551635742,US,24859
12500,45.01008987426758,US,24850
12750,72.01623916625977,US,25356
12750,71.01583480834961,US,25375
12750,74.01633262634277,US,25350
12750,72.01695442199707,US,25356
12750,45.01008987426758,US,25350
12750,44.00968551635742,US,25352
12750,69.0157413482666,US,25362
12750,70.01566886901855,US,25347
12750,72.01623916625977,US,25362
12750,48.010826110839844,US,25367
13,0.0,US,19
13,0.0,US,20
13,0.0,US,21
13,0.0,US,14
13,0.0,US,22
13,0.0,US,20
13,0.0,US,21
13,0.0,US,21
13,0.0,US,21
13,0.0,US,21
13000,46.01025581359863,US,25850
13000,46.010494232177734,US,25864
13000,75.01697540283203,US,25860
13000,72.01600074768066,US,25857
13000,74.01704788208008,US,25854
13000,75.01649856567383,US,25855
13000,47.01089859008789,US,25857
13000,49.01123046875,US,25859
13000,49.0107536315918,US,25853
13000,70.01495361328125,US,25856
13250,74.01657104492188,US,26357
13250,73.01592826843262,US,26346
13250,77.01754570007324,US,26358
13250,49.0109920501709,US,26349
13250,48.01130294799805,US,26356
13250,71.01631164550781,US,26353
13250,73.01592826843262,US,26346
13250,73.01664352416992,US,26343
13250,78.01699638366699,US,26338
13250,50.01091957092285,US,26368
13500,48.011064529418945,US,26871
13500,48.011064529418945,US,26854
13500,50.01187324523926,US,26852
13500,72.01600074768066,US,26848
13500,73.01664352416992,US,26857
13500,77.13580131530762,US,26846
13500,75.01673698425293,US,26843
13500,51.010847091674805,US,26846
13500,50.011396408081055,US,26842
13500,49.010515213012695,US,26846
13750,52.011728286743164,US,27356
13750,81.01820945739746,US,27344
13750,79.01740074157715,US,27353
13750,79.01811599731445,US,27320
13750,75.01697540283203,US,27352
13750,78.0179500579834,US,27344
13750,52.011966705322266,US,27342
13750,50.01044273376465,US,27339
13750,53.01213264465332,US,27349
