Number of blocks,Time,Algorithm,Plan length
39,0.0,GN1,63
39,0.0,GN1,62
39,1.0006427764892578,GN1,57
39,0.0,GN1,57
39,0.0,GN1,64
39,0.99945068359375,GN1,65
39,0.0,GN1,56
39,1.0004043579101562,GN1,52
39,0.0,GN1,67
39,0.0,GN1,61
4,0.0,GN1,5
4,0.0,GN1,4
4,0.0,GN1,5
4,0.0,GN1,3
4,0.0,GN1,3
4,0.0,GN1,1
4,0.0,GN1,2
4,0.0,GN1,5
4,0.0,GN1,6
4,0.0,GN1,5
40,0.0,GN1,62
40,0.0,GN1,67
40,0.0,GN1,55
40,1.0006427764892578,GN1,63
40,0.0,GN1,62
40,0.0,GN1,63
40,1.0006427764892578,GN1,62
40,0.0,GN1,65
40,0.9996891021728516,GN1,61
40,0.0,GN1,56
4000,45.00985145568848,GN1,7756
4000,45.16959190368652,GN1,7717
4000,75.41680335998535,GN1,7745
4000,45.01032829284668,GN1,7767
4000,45.1970100402832,GN1,7740
4000,45.501708984375,GN1,7771
4000,76.01690292358398,GN1,7743
4000,45.14360427856445,GN1,7766
4000,46.361684799194336,GN1,7775
4000,45.35198211669922,GN1,7765
41,1.0001659393310547,GN1,69
41,0.0,GN1,60
41,0.0,GN1,63
41,1.001119613647461,GN1,68
41,0.0,GN1,70
41,0.9999275207519531,GN1,66
41,0.0,GN1,60
41,0.0,GN1,63
41,0.9999275207519531,GN1,60
41,0.0,GN1,64
42,1.0008811950683594,GN1,58
42,0.0,GN1,64
42,0.0,GN1,60
42,0.9999275207519531,GN1,60
42,0.0,GN1,58
42,1.0001659393310547,GN1,67
42,0.0,GN1,69
42,0.0,GN1,68
42,0.9999275207519531,GN1,66
42,0.0,GN1,63
4250,77.87418365478516,GN1,8239
4250,47.54805564880371,GN1,8271
4250,48.51055145263672,GN1,8245
4250,49.0109920501709,GN1,8232
4250,78.7503719329834,GN1,8224
4250,48.01034927368164,GN1,8257
4250,49.013614654541016,GN1,8254
4250,48.32315444946289,GN1,8245
4250,48.01130294799805,GN1,8271
4250,48.010826110839844,GN1,8239
43,1.0004043579101562,GN1,57
43,0.0,GN1,70
43,1.0001659393310547,GN1,66
43,0.0,GN1,68
43,0.0,GN1,68
43,1.0004043579101562,GN1,64
43,0.0,GN1,57
43,1.0077953338623047,GN1,74
43,0.0,GN1,66
43,0.9949207305908203,GN1,72
44,0.0,GN1,68
44,0.0,GN1,65
44,0.0,GN1,68
44,0.0,GN1,74
44,0.9999275207519531,GN1,69
44,0.0,GN1,66
44,1.001596450805664,GN1,71
44,0.0,GN1,76
44,0.9989738464355469,GN1,67
44,0.0,GN1,63
45,0.9999275207519531,GN1,69
45,0.0,GN1,73
45,0.0,GN1,63
45,0.0,GN1,64
45,0.0,GN1,75
45,1.0001659393310547,GN1,69
45,0.0,GN1,67
45,0.9999275207519531,GN1,68
45,0.0,GN1,73
45,0.0,GN1,69
4500,51.01299285888672,GN1,8732
4500,81.24160766601562,GN1,8788
4500,50.4763126373291,GN1,8723
4500,50.00615119934082,GN1,8730
4500,50.012826919555664,GN1,8726
4500,83.1758975982666,GN1,8809
4500,51.01203918457031,GN1,8729
4500,51.25617980957031,GN1,8752
4500,50.66514015197754,GN1,8759
4500,52.011728286743164,GN1,8729
46,0.0,GN1,83
46,1.0001659393310547,GN1,68
46,0.0,GN1,74
46,1.0001659393310547,GN1,78
